"id","sku","labeling_unit_1","labeling_quantity_1","labeling_unit_2","labeling_quantity_2","labeling_unit_3","labeling_quantity_3","labeling_unit_4","labeling_quantity_4","labeling_unit_5","labeling_quantity_5","created_at","updated_at","customer_id"
"219","ABO-075","Case",6,"",0,"",0,"",0,"",0,"2024-06-09 00:48:59.604028-04","2024-06-09 00:48:59.604028-04",1
"220","ABO-088","Each",1,"",0,"",0,"",0,"",0,"2024-06-09 00:48:59.605028-04","2024-06-09 00:48:59.605028-04",1
"221","ABO-090","Master carton",10,"",0,"",0,"",0,"",0,"2024-06-09 00:48:59.605028-04","2024-06-09 00:48:59.605028-04",1
"222","ABO-091","Master carton",10,"",0,"",0,"",0,"",0,"2024-06-09 00:48:59.606028-04","2024-06-09 00:48:59.606028-04",1
"223","ABO-111","Case",12,"",0,"",0,"",0,"",0,"2024-06-09 00:48:59.606818-04","2024-06-09 00:48:59.606818-04",1
"224","ABO-112","Case",12,"",0,"",0,"",0,"",0,"2024-06-09 00:48:59.606818-04","2024-06-09 00:48:59.606818-04",1
"225","ABO-117","Each",12,"",0,"",0,"",0,"",0,"2024-06-09 00:48:59.606818-04","2024-06-09 00:48:59.606818-04",1
"226","ABO-121","Case",12,"",0,"",0,"",0,"",0,"2024-06-09 00:48:59.606818-04","2024-06-09 00:48:59.606818-04",1
"227","ABO-127","Each",12,"",0,"",0,"",0,"",0,"2024-06-09 00:48:59.606818-04","2024-06-09 00:48:59.606818-04",1
"228","ABO-131","Case",12,"",0,"",0,"",0,"",0,"2024-06-09 00:48:59.606818-04","2024-06-09 00:48:59.606818-04",1
